File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,Frame,X,Y,Distance_px,Distance_cm,Time in Seconds
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,61,1557.952314,121.4338364,1.357130391,0.09330223,4.290939786
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,62,1563.294002,122.3538154,5.420331912,0.372645886,4.361283061
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,63,1561.219288,122.1563621,2.084089173,0.143280387,4.431626337
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,64,1560.987033,121.5557403,0.643963313,0.044272248,4.501969612
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,65,1560.932323,120.3988339,1.15819922,0.079625783,4.572312887
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,66,1560.770691,119.6598712,0.7564329,0.052004492,4.642656162
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,67,1563.804532,121.1984972,3.401699749,0.233865645,4.712999437
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,68,1566.247694,123.0912822,3.090578616,0.212476178,4.783342712
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,69,1566.8679,122.6542458,0.758719702,0.052161709,4.853685988
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,70,1570.309872,123.2299375,3.4897843,0.239921426,4.924029263
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,71,1569.21789,122.6425689,1.239930408,0.085244773,4.994372538
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,72,1568.231358,122.283481,1.049851388,0.072176908,5.064715813
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,73,1567.176084,121.8265907,1.149936136,0.079057699,5.135059088
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,74,1568.348759,122.0421722,1.192326552,0.081972025,5.205402364
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,75,1568.106137,121.5153933,0.579966698,0.039872504,5.275745639
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,76,1568.540933,121.8431515,0.544493054,0.037433703,5.346088914
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,77,1564.676065,121.2685737,3.90734502,0.268628577,5.416432189
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,78,1556.07107,118.5915538,9.011790368,0.619557374,5.486775464
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,79,1531.976172,109.5970327,25.71897232,1.768170174,5.557118739
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,80,1527.785991,108.9894076,4.23400777,0.291086524,5.627462015
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,81,1525.111461,108.9014667,2.675975411,0.183972355,5.69780529
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,82,1522.281038,108.1555023,2.927073558,0.201235263,5.768148565
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,83,1518.021816,106.1831539,4.693732543,0.322692438,5.83849184
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,84,1517.211828,106.5046341,0.871453356,0.059912107,5.908835115
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,85,1519.448306,108.6931363,3.129117875,0.215125738,5.979178391
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,86,1516.156793,104.873592,5.04212043,0.346643981,6.049521666
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,87,1516.766491,102.2519878,2.6915684,0.185044368,6.119864941
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,88,1515.931757,99.78869637,2.600881595,0.178809682,6.190208216
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,89,1516.510277,98.03042977,1.850996185,0.127255328,6.260551491
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,90,1514.57032,97.4078994,2.037395496,0.140070214,6.330894766
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,91,1516.788455,99.01748694,2.74060171,0.18841539,6.401238042
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,92,1524.909079,100.5177435,8.258044215,0.567737595,6.471581317
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,93,1530.931504,98.00120073,6.527066554,0.448733498,6.541924592
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,94,1531.163149,95.51111199,2.500840133,0.171931867,6.612267867
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,95,1528.625795,94.20768642,2.852557871,0.196112336,6.682611142
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,96,1527.93685,94.54894552,0.768831962,0.052856923,6.752954418
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,97,1524.02467,96.88401681,4.556063335,0.313227729,6.823297693
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,98,1523.244282,98.54952439,1.83927184,0.126449283,6.893640968
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,99,1522.227806,99.4980437,1.390291705,0.095582059,6.963984243
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,100,1521.074772,100.4726357,1.509741204,0.103794169,7.034327518
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,101,1521.435511,101.1739957,0.78869418,0.054222444,7.104670793
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,102,1520.914473,101.7504397,0.777025436,0.053420222,7.175014069
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,103,1519.67091,101.5682881,1.256831782,0.086406737,7.245357344
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,104,1520.753783,98.65551586,3.107548185,0.213642829,7.315700619
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,105,1526.284817,90.10065314,10.1871493,0.700362881,7.386043894
